Epoch: 129, time: 1.751, Train Loss: 3.233e-04,Vali Loss: 4.236e-04, Train l2: 0.0836, Vali l2: 0.0988
Epoch: 130, time: 1.751, Train Loss: 2.732e-04,Vali Loss: 2.971e-04, Train l2: 0.0772, Vali l2: 0.0782
Epoch: 131, time: 1.750, Train Loss: 2.756e-04,Vali Loss: 3.553e-04, Train l2: 0.0775, Vali l2: 0.0850
Epoch: 132, time: 1.750, Train Loss: 2.962e-04,Vali Loss: 5.351e-04, Train l2: 0.0806, Vali l2: 0.0972
Epoch: 133, time: 1.750, Train Loss: 3.097e-04,Vali Loss: 2.879e-04, Train l2: 0.0810, Vali l2: 0.0791
Epoch: 134, time: 1.751, Train Loss: 2.950e-04,Vali Loss: 4.000e-04, Train l2: 0.0809, Vali l2: 0.0860
Epoch: 135, time: 1.750, Train Loss: 2.951e-04,Vali Loss: 2.280e-04, Train l2: 0.0795, Vali l2: 0.0702
Epoch: 136, time: 1.750, Train Loss: 2.812e-04,Vali Loss: 3.283e-04, Train l2: 0.0770, Vali l2: 0.0827
Epoch: 137, time: 1.751, Train Loss: 2.698e-04,Vali Loss: 2.473e-04, Train l2: 0.0771, Vali l2: 0.0736
Epoch: 138, time: 1.750, Train Loss: 1.022e-02,Vali Loss: 8.091e-04, Train l2: 0.3203, Vali l2: 0.1305
Epoch: 139, time: 1.750, Train Loss: 4.214e-04,Vali Loss: 2.939e-04, Train l2: 0.0949, Vali l2: 0.0743
Epoch: 140, time: 1.751, Train Loss: 3.545e-04,Vali Loss: 3.575e-04, Train l2: 0.0849, Vali l2: 0.0830
Epoch: 141, time: 1.752, Train Loss: 2.632e-04,Vali Loss: 3.106e-04, Train l2: 0.0759, Vali l2: 0.0757
Epoch: 142, time: 1.751, Train Loss: 2.729e-04,Vali Loss: 3.129e-04, Train l2: 0.0767, Vali l2: 0.0776
Epoch: 143, time: 1.751, Train Loss: 2.995e-04,Vali Loss: 3.593e-04, Train l2: 0.0777, Vali l2: 0.0860
Epoch: 144, time: 1.751, Train Loss: 3.010e-04,Vali Loss: 3.286e-04, Train l2: 0.0796, Vali l2: 0.0824
Epoch: 145, time: 1.751, Train Loss: 2.647e-04,Vali Loss: 2.576e-04, Train l2: 0.0757, Vali l2: 0.0716
Epoch: 146, time: 1.752, Train Loss: 2.723e-04,Vali Loss: 3.267e-04, Train l2: 0.0751, Vali l2: 0.0774
Epoch: 147, time: 1.751, Train Loss: 2.895e-04,Vali Loss: 2.326e-04, Train l2: 0.0783, Vali l2: 0.0690
Epoch: 148, time: 1.751, Train Loss: 2.730e-04,Vali Loss: 3.073e-04, Train l2: 0.0764, Vali l2: 0.0790
Epoch: 149, time: 1.751, Train Loss: 2.700e-04,Vali Loss: 2.618e-04, Train l2: 0.0763, Vali l2: 0.0735
Epoch: 150, time: 1.753, Train Loss: 3.437e-04,Vali Loss: 6.610e-04, Train l2: 0.0855, Vali l2: 0.1066
Epoch: 151, time: 1.753, Train Loss: 2.954e-04,Vali Loss: 4.694e-04, Train l2: 0.0785, Vali l2: 0.0910
Epoch: 152, time: 1.751, Train Loss: 3.115e-04,Vali Loss: 2.928e-04, Train l2: 0.0811, Vali l2: 0.0737
Epoch: 153, time: 1.751, Train Loss: 2.527e-04,Vali Loss: 2.700e-04, Train l2: 0.0741, Vali l2: 0.0727
Epoch: 154, time: 1.751, Train Loss: 2.688e-04,Vali Loss: 2.571e-04, Train l2: 0.0755, Vali l2: 0.0757
Epoch: 155, time: 1.750, Train Loss: 2.379e-04,Vali Loss: 2.684e-04, Train l2: 0.0726, Vali l2: 0.0759
Epoch: 156, time: 1.751, Train Loss: 2.512e-04,Vali Loss: 2.603e-04, Train l2: 0.0744, Vali l2: 0.0718
Epoch: 157, time: 1.752, Train Loss: 2.593e-04,Vali Loss: 2.850e-04, Train l2: 0.0749, Vali l2: 0.0761
Epoch: 158, time: 1.750, Train Loss: 2.741e-04,Vali Loss: 2.915e-04, Train l2: 0.0778, Vali l2: 0.0787
Epoch: 159, time: 1.751, Train Loss: 2.494e-04,Vali Loss: 2.727e-04, Train l2: 0.0724, Vali l2: 0.0757
Epoch: 160, time: 1.750, Train Loss: 2.670e-04,Vali Loss: 3.029e-04, Train l2: 0.0761, Vali l2: 0.0794
Epoch: 161, time: 1.752, Train Loss: 3.107e-04,Vali Loss: 3.677e-04, Train l2: 0.0816, Vali l2: 0.0888
Epoch: 162, time: 1.757, Train Loss: 3.068e-04,Vali Loss: 3.762e-04, Train l2: 0.0799, Vali l2: 0.0850
Epoch: 163, time: 1.758, Train Loss: 2.975e-04,Vali Loss: 2.890e-04, Train l2: 0.0785, Vali l2: 0.0773
Epoch: 164, time: 1.758, Train Loss: 2.533e-04,Vali Loss: 2.832e-04, Train l2: 0.0744, Vali l2: 0.0745
Epoch: 165, time: 1.757, Train Loss: 2.851e-04,Vali Loss: 3.698e-04, Train l2: 0.0763, Vali l2: 0.0865
Epoch: 166, time: 1.757, Train Loss: 2.613e-04,Vali Loss: 2.477e-04, Train l2: 0.0749, Vali l2: 0.0692
Epoch: 167, time: 1.758, Train Loss: 2.587e-04,Vali Loss: 3.400e-04, Train l2: 0.0748, Vali l2: 0.0856
Epoch: 168, time: 1.757, Train Loss: 2.672e-04,Vali Loss: 3.314e-04, Train l2: 0.0760, Vali l2: 0.0807
Epoch: 169, time: 1.757, Train Loss: 2.655e-04,Vali Loss: 2.663e-04, Train l2: 0.0757, Vali l2: 0.0730
Epoch: 170, time: 1.757, Train Loss: 2.564e-04,Vali Loss: 3.116e-04, Train l2: 0.0746, Vali l2: 0.0775
Epoch: 171, time: 1.757, Train Loss: 2.779e-04,Vali Loss: 3.153e-04, Train l2: 0.0780, Vali l2: 0.0776
Epoch: 172, time: 1.759, Train Loss: 2.549e-04,Vali Loss: 3.465e-04, Train l2: 0.0749, Vali l2: 0.0837
Epoch: 173, time: 1.761, Train Loss: 2.750e-04,Vali Loss: 4.915e-04, Train l2: 0.0763, Vali l2: 0.0965
Epoch: 174, time: 1.758, Train Loss: 2.782e-04,Vali Loss: 3.067e-04, Train l2: 0.0771, Vali l2: 0.0768
Epoch: 175, time: 1.758, Train Loss: 3.308e-04,Vali Loss: 3.017e-04, Train l2: 0.0836, Vali l2: 0.0798
Epoch: 176, time: 1.757, Train Loss: 2.243e-04,Vali Loss: 2.453e-04, Train l2: 0.0704, Vali l2: 0.0715
Epoch: 177, time: 1.757, Train Loss: 7.454e-03,Vali Loss: 1.171e-02, Train l2: 0.2743, Vali l2: 0.6085
Epoch: 178, time: 1.758, Train Loss: 3.258e-03,Vali Loss: 3.776e-04, Train l2: 0.2053, Vali l2: 0.0900
Epoch: 179, time: 1.759, Train Loss: 3.211e-04,Vali Loss: 2.897e-04, Train l2: 0.0834, Vali l2: 0.0751
